ts,event,option_kind,reason_code,reason_text,station_code,station_label,zim_locker,origin_label,origin_spot,dest_label,dest_spot,segment,store,zone,preference,channel,size,qty,weight_kg,hour,day_type,fallback_level,foreign
2026-07-31T10:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,KT&G 상상마당 부산,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,특대형,2,56,10,주중,0,True
2026-07-31T10:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,롯데면세점 부산점,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,특대형,2,56,10,주중,0,True
2026-07-31T10:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,씨클라우드호텔,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,특대형,2,56,10,주중,0,True
2026-07-31T10:00,RESOLVED,짐캐리 배송,,,,,,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,특대형,2,56,10,주중,0,True
2026-07-31T16:00,REJECTED,짐캐리 배송,DLV_PAST_CUTOFF,시간 불가: 당일 접수 마감 경과,,,,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,대형,1,18,16,주중,0,True
2026-07-31T16:00,RESOLVED,역사 보관함,,,113,1호선 부산,,부산역,매장,해운대 호텔,숙소,매장→숙소,부산역,해운대·기장,무관,매장방문,대형,1,18,16,주중,0,True
2026-07-31T13:00,REJECTED,짐캐리 배송,DLV_PAST_CUTOFF,시간 불가: 당일 접수 마감 경과,,,,서면 게스트하우스,숙소,부산역,매장,숙소→매장,부산역,원도심(동구·중구),무관,온라인,대형,2,40,13,주중,0,False
2026-07-31T13:00,RESOLVED,역사 보관함,,,119,1호선 서면,,서면 게스트하우스,숙소,부산역,매장,숙소→매장,부산역,원도심(동구·중구),무관,온라인,대형,2,40,13,주중,0,False
2026-07-31T11:00,REJECTED,짐캐리 무인보관함,ZIM_TOO_FAR,무인보관함이 현재 위치에서 지나치게 멂,,,씨클라우드호텔,1호선 남포,역·관광지,,,,,원도심(동구·중구),보관,온라인,중형,1,14,11,주중,0,False
2026-07-31T11:00,RESOLVED,역사 보관함,,,111,1호선 남포,,1호선 남포,역·관광지,,,,,원도심(동구·중구),보관,온라인,중형,1,14,11,주중,0,False
2026-07-31T13:00,REJECTED,역사 보관함,LKR_SIZE_UNAVAILABLE,필요 규격 0칸 (물리적 불가),403,4호선 수안,,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,0,False
2026-07-31T13:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,롯데면세점 부산점,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,0,False
2026-07-31T13:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,KT&G 상상마당 부산,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,0,False
2026-07-31T13:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,씨클라우드호텔,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,0,False
2026-07-31T13:00,REJECTED,역사 보관함,LKR_NO_LOCKER_AT_STATION,해당 역에 물품보관함 없음,404,4호선 낙민,,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,1,False
2026-07-31T13:00,REJECTED,역사 보관함,LKR_SIZE_UNAVAILABLE,필요 규격 0칸 (물리적 불가),405,4호선 충렬사,,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,1,False
2026-07-31T13:00,FALLBACK,역사 보관함,,,125,1호선 동래,,4호선 수안,역·관광지,범어사,역·관광지,역·관광지→역·관광지,,기타,보관,온라인,특대형,1,26,13,주중,1,False
